X,state_county,fips,state,ST,start.date,end.date,duration,count.max,sr,r0,r0.Pr,r0.ave3,r0.ave5,r0.est,r0.est.se,r0.est.ave3,r0.est.ave5,r0.u95,r0.u66,r0.l66,r0.l95,r1,r1.Pr,r1.est,r1.est.se,r1.u95,r1.u66,r1.l66,r1.l95,rmax,rmax.est,rmax.u95,rmax.u66,rmax.l66,rmax.l95,rmin,rmin.est,rmin.u95,rmin.u66,rmin.l66,rmin.l95,R0,l95,u95,l66,u66,fips,state_county5,Year.AHDP,County,Less_Than_High_School,At_Least_Bachelor_Degree.AHDP,Median_Earnings.AHDP,Education_Index,Income_Index,White.AHDP,African_American,Native_American,Asian_American,Other_race,Latino_Population,Children_in_Poverty,Adults_65_Poverty.AHDP,Population.Census2019,Below_federal_poverty_threshold.AHDP,Gini_Coefficient.AHDP,Child_Poverty,Professional_occupations,Service_occupations,Sales_office_occupations,Farming_occupations,Construction_occupations,Production_occupations,county5.x,countylast,state.x,county.x,Median_Earnings.y,Gini_Coefficient.MA,Below_federal_poverty_threshold.MA,Violent_Crime.MA,At_Least_Bachelor_Degree.MA,Population.MA,White.MA,Smoker,Obesity.MA,Diabetes,Elderly_Population.MA,lat,lon,area,ST,pTrump,thresh,state_county.w,pop,den,region
3030,AL_agg,NA,Alabama,AL,3/7/20,5/5/20,60,3.295836866,0.02,0.079793998,0.002361196,0.078563875,0.070799944,0.052053199,0.033887109,0.051028062,0.051298289,0.119449501,0.085632926,0.017669705,-0.010080181,-0.011874323,0.002433458,-0.004616415,0.033887109,0.055024523,0.02689685,-0.039455472,-0.076790326,0.054218657,0.052827445,0.116688123,0.087030321,0.017543826,-0.005390836,NA,-0.014904836,0.052531456,0.014307157,-0.050064707,-0.083408829,1.455698355,0.926599928,2.26905988,1.139770842,1.826376114,NA,NA,NA,NA,18.48386484,22.26568726,26237.95084,4.240341122,4.028826117,67.9475225,25.05374773,0.503469977,1.050112321,1.390373449,4.046345516,26.93670873,11.17891553,4489975,16.8220329,0.458999977,23.58062259,31.1118606,15.68902943,25.0913899,0.746751189,10.79807509,16.58393103,"Kent County,","ent County, Delaware",DE,"Kent County, DE",NA,0.465641364,18.8074017,NA,23.80240052,4416369,0.671175574,19.17803274,33.75416676,13.53563853,14.96523502,33.22519006,-86.61853975,50778.8,2,0.629585426,FALSE,AL_agg,4489975,34.13999099,South
642,AL_Mobile,1097,Alabama,AL,3/19/20,5/5/20,48,1.945910149,0.02,0.037562554,0.002159835,0.033459258,0.029540654,0.025838243,0.028236167,0.024557936,0.023570753,0.079835626,0.053150332,-0.001782898,-0.040239231,-0.06124235,0.002353076,-0.028145265,0.028236167,0.041640715,0.001310692,-0.06154242,-0.096771849,0.037562554,0.025838243,0.079835626,0.053150332,-0.001782898,-0.040239231,-0.04987355,-0.033130539,0.036674508,-0.004403482,-0.067666404,-0.104686632,1.20939725,0.732382506,1.757680237,0.986691222,1.466799267,1097,AL_Mobile Count,2010,"Mobile County, Alabama",17.7,19.8,25355,4.16,3.87,59.1,34.4,0.9,1.8,1.4,2.4,34.9,12.8,413210,19.2,0.47,28.7,29.4,17.3,26.9,0.7,11.7,14.1,Mobile Count,"obile County, Alabama",AL,"Mobile County, AL",27577,0.4693,19.27069293,549.8,22,414251,0.581362507,21.64262661,37.1,15.6,14.09918141,30.683993,-88.170637,1644.14,2,0.550640569,TRUE,AL_Mobile,413210,97.03623568,South
3022,AR_agg,NA,Arkansas,AR,3/6/20,5/5/20,61,2.079441542,0.02,0.024107974,0.002073588,0.023734961,0.019375278,0.013914636,0.031021539,0.012472191,0.012728643,0.066699985,0.04494017,-0.01731932,-0.058018924,0.0241911,0.00231513,0.005400415,0.031021539,0.062303671,0.029305174,-0.023364542,-0.047451225,0.005898815,0.046900734,0.097253243,0.070492306,0.021934907,-0.004375761,0.030747099,-0.027378306,0.026781329,0.001476381,-0.059408754,-0.082507151,1.108845901,0.634277424,1.609401993,0.876595201,1.385308148,NA,NA,NA,NA,17.91203918,19.54065093,24245.83486,3.999768809,3.493156908,74.68260707,15.03767734,0.701383878,1.243874467,1.84933551,6.482982434,30.14678217,11.214321,3017804,17.8845758,0.450796732,25.99478941,29.79636854,16.53047314,24.71251024,1.283943387,10.22369265,17.46307389,Sussex Count,"ussex County, Delaware",DE,"Sussex County, DE",26493.74685,0.460942988,19.32244899,NA,21.30525588,2958208,0.736022619,19.84923727,34.42592806,12.41014537,15.33573704,35.15650527,-92.67320121,53182.34,3,0.605497431,TRUE,AR_agg,3017804,21.90914857,South
2987,AZ_agg,NA,Arizona,AZ,3/7/20,5/5/20,60,2.995732274,0.02,0.069299312,0.002483581,0.067887963,0.06465817,0.034196366,0.032311779,0.034129282,0.033455362,0.094546372,0.065398697,0.003171035,-0.04627683,0.028460783,0.002351401,0.037410653,0.032311779,0.09834418,0.069939658,0.003842248,-0.034606376,0.033951023,0.055358726,0.132016023,0.087447077,0.017981885,-0.022027757,0.050181989,0.007377187,0.067986221,0.042080687,-0.022867109,-0.06517108,1.284064945,0.697778083,1.936001303,1.024023647,1.595257727,NA,NA,NA,NA,17.97822166,17.82625206,25115.69386,3.629103848,3.729641138,57.34149853,1.938163345,10.85283532,1.089550702,1.908646434,26.88679162,27.61735846,10.38659251,1746024,17.78030264,0.429668432,24.86430139,29.27922514,20.84988365,25.39976428,1.645571199,12.05852996,10.73562047,Autauga Coun,"utauga County, Alabama",AL,"Autauga County, AL",24876.8231,0.440862864,20.59437802,285.0313572,18.77106085,1625248,0.561975772,17.47309783,28.99495659,11.56797147,19.09800843,33.77615575,-112.0191839,95591.96,4,0.528743903,FALSE,AZ_agg,1746024,7.052299622,West
4,AZ_Maricopa,4013,Arizona,AZ,3/7/20,5/5/20,60,3.526360525,0.02,0.070658027,0.002474015,0.069109075,0.067721439,0.043217267,0.030310843,0.04236042,0.041802236,0.100552942,0.073703202,0.012557781,-0.021878184,0.023919559,0.002420474,0.031530515,0.030310843,0.09364541,0.057226255,0.001997435,-0.032543539,0.050814349,0.05318492,0.127048871,0.092498103,0.013442434,-0.024139416,0.059263671,0.017957866,0.078193491,0.047042942,-0.012319608,-0.044813499,1.368665545,0.846231296,2.012671012,1.097836324,1.687198795,4013,AZ_Maricopa Cou,2010,"Maricopa County, Arizona",14.4,29,31766,4.62,5.43,58.7,4.6,1.6,3.4,2.2,29.6,22.7,7,4485414,13.9,0.45,19.8,35.9,16.8,27.8,0.2,9.9,9.4,Maricopa Cou,"aricopa County, Arizona",AZ,"Maricopa County, AZ",31575,0.4645,16.98444076,402.5120966,30.4,4018143,0.573284226,13.02001194,25.4,9,13.40056837,33.493403,-112.04143,9224.86,4,0.476683756,TRUE,AZ_Maricopa,4485414,187.7347476,West
114,AZ_Pima,4019,Arizona,AZ,3/9/20,5/5/20,58,2.772588722,0.02,0.026441206,0.002540484,0.033846762,0.034945464,0.022838459,0.033433143,0.021958611,0.020827521,0.081546179,0.054814049,-0.011965654,-0.063619844,-0.020496472,0.002464593,-0.009579473,0.033433143,0.043187219,0.026076847,-0.042473781,-0.066643867,0.006070483,0.02516212,0.085042083,0.05810492,-0.010157339,-0.056332159,-0.004505254,-0.014115249,0.055032056,0.020604649,-0.050600451,-0.082494876,1.183448859,0.605692088,1.777739073,0.91336151,1.483758633,4019,"AZ_Pima County,",2010,"Pima County, Arizona",13.2,29.6,26057,4.95,4.05,55.3,3.2,2.4,2.5,2.1,34.6,25.8,8.5,1047279,16.4,0.46,22.6,35.9,19.9,25.9,0.2,9.9,8.2,"Pima County,","ima County, Arizona",AZ,"Pima County, AZ",25916,0.4726,19.25828106,450.3661282,30.3,998537,0.536750266,13.42125131,24.2,8.8,17.1481878,32.216707,-110.96001,9189.44,4,0.397087563,TRUE,AZ_Pima,1047279,44.00228822,West
2986,CA_agg,NA,California,CA,2/28/20,5/5/20,68,3.63758616,0.02,0.126361735,0.002166091,0.125810336,0.123946538,0.087229707,0.030011295,0.083068746,0.078558016,0.138064018,0.11282695,0.056710446,0.018565884,0.008049342,0.00209968,0.002497038,0.030011295,0.059331304,0.032555654,-0.029077934,-0.064632382,0.12596431,0.087284616,0.138092083,0.1130064,0.056833644,0.017978189,0.012622178,-0.012975471,0.044456047,0.01283724,-0.042206242,-0.072830676,1.845655175,1.147251165,2.545124324,1.503275634,2.176534296,NA,NA,NA,NA,18.21964314,29.05046665,31801.91249,4.868846322,5.257610505,47.04961867,5.339212008,0.648639954,11.66841877,3.686193199,31.61207043,20.08561929,8.118545424,16380611,13.86404517,0.451104002,18.35776121,35.53168075,17.69541685,24.68094802,3.29273986,8.616259731,10.19370839,"Bibb County,","ibb County, Alabama",AL,"Bibb County, AL",32308.20413,0.464666435,16.43660893,473.9862057,30.28558411,15782961,0.455709863,11.96966996,24.31896378,8.620547957,13.21821678,37.41000128,-121.1561086,124766.24,5,0.33576942,FALSE,CA_agg,16380611,50.69147432,West
5,CA_Los Angeles,6037,California,CA,3/3/20,5/5/20,64,4.564348191,0.02,0.155686219,0.002068221,0.152436649,0.147543784,0.122653328,0.029559227,0.119618357,0.116597759,0.176949801,0.15217523,0.093014124,0.053661536,0.023614793,0.002071649,0.000752614,0.029559227,0.05732395,0.026100379,-0.029665353,-0.083752533,0.148449169,0.122934015,0.181987015,0.159785489,0.088838918,0.042977834,0.003260063,-0.028479478,0.028735032,-0.001008852,-0.05811705,-0.097758803,2.314878009,1.47199415,3.202499932,1.916806286,2.770702931,6037,CA_Los Angeles ,2010,"Los Angeles County, California",24.1,29,28874,4.67,4.77,27.8,8.3,0.2,13.5,2.5,47.7,23.6,11.3,10039107,15.7,0.49,22.4,34.6,17.8,26,0.3,8.2,13.1,Los Angeles ,"os Angeles County, California",CA,"Los Angeles County, CA",29356,0.5013,18.21000183,423.7890435,30.3,10038388,0.269320831,11.70026618,21.4,9.1,11.85209219,34.065193,-118.244222,4752.32,5,0.224133363,TRUE,CA_Los Angeles,10039107,815.6264844,West
3,CA_Orange,6059,California,CA,3/18/20,5/5/20,49,2.63905733,0.02,0.043885958,0.002397866,0.040688895,0.041066563,0.028076382,0.031276888,0.028766694,0.029135066,0.100143391,0.055243005,-0.002458718,-0.040293646,0.057383805,0.002254718,0.035995826,0.031276888,0.097066947,0.062544937,0.004741264,-0.023912436,0.022339231,0.052648018,0.114829169,0.083843844,0.017598395,-0.017863931,0.038629533,0.011104144,0.066308431,0.038823231,-0.018159562,-0.048256172,1.229047702,0.732064541,2.007370801,0.98168348,1.488155928,6059,CA_Orange Count,2010,"Orange County, California",16.7,36,35083,5.62,6.12,44.1,1.5,0.2,17.7,2.9,33.7,14.2,7.2,3175692,10.1,0.46,13.6,39.4,15.6,27.2,0.3,7,10.5,Orange Count,"range County, California",CA,"Orange County, CA",34778,0.467,12.8465385,203.9479223,37.7,3116069,0.423626691,10.27058097,19.7,8,12.76149533,33.733953,-117.86288,947.91,5,0.42349821,TRUE,CA_Orange,3175692,1293.520104,West
77,CA_Riverside,6065,California,CA,3/8/20,5/5/20,59,3.135494216,0.02,0.088288685,0.002389514,0.085662965,0.08083965,0.058569484,0.03478016,0.055526866,0.053707767,0.120731245,0.092071485,0.023142947,-0.020065392,0.018081179,0.002245422,0.019062052,0.03478016,0.082491162,0.053200453,-0.01515204,-0.058352938,0.081532576,0.059003814,0.132201286,0.099090382,0.015807593,-0.024389831,0.030186871,0.007835869,0.065057275,0.038206971,-0.020238874,-0.047055219,1.522601442,0.858202426,2.287306879,1.186062509,1.905070215,6065,CA_Riverside Co,2010,"Riverside County, California",20.8,20.5,29025,4.08,4.8,39.7,6,0.5,5.8,2.6,45.5,20.5,7.8,2470546,13.4,0.44,18.3,29.1,19.1,26.7,1.1,11.4,12.6,Riverside Co,"iverside County, California",CA,"Riverside County, CA",28006,0.4454,16.79269047,282.5920015,20.9,2298032,0.377560452,13.38756445,26,9,12.80282433,33.800439,-117.066205,7303.81,5,0.443501453,TRUE,CA_Riverside,2470546,130.6006656,West
