"ST","fips","state_county5","lat","lon","den"
"DE",10001,"DE_Kent County,",39.12322,-75.558604,87.2370009081128
"AL",1001,"AL_Autauga Coun",32.500389,-86.494165,35.6848347487011
"AL",1003,"AL_Baldwin Coun",30.548923,-87.762381,42.5198148937258
"AL",1005,"AL_Barbour Coun",31.844036,-85.310038,10.5366087749173
"AL",1007,"AL_Bibb County,",33.030921,-87.127659,13.8231261870222
"AL",1009,"AL_Blount Count",33.955243,-86.591491,34.314496473097
"AL",1011,"AL_Bullock Coun",32.116327,-85.701192,6.22896145720911
"AL",1013,"AL_Butler Count",31.773539,-86.65355,9.651678428782
"AL",1015,"AL_Calhoun Coun",33.72546,-85.819442,71.6307727909646
"AL",1017,"AL_Chambers Cou",32.860439,-85.266474,21.2872947234984
"AL",1019,"AL_Cherokee Cou",34.179333,-85.629194,16.8572079428878
"AL",1021,"AL_Chilton Coun",32.877547,-86.687406,24.4773604228052
"AL",1023,"AL_Choctaw Coun",32.016562,-88.264164,5.27807986399774
"AL",1025,"AL_Clarke Count",31.685685,-87.815673,7.28125381984942
"AL",1027,"AL_Clay County,",33.272412,-85.820227,8.43174381650622
"AL",1029,"AL_Cleburne Cou",33.62977,-85.494315,10.2605407330814
"AL",1031,"AL_Coffee Count",31.354433,-85.904715,29.696914767565
"AL",1033,"AL_Colbert Coun",34.723385,-87.685151,34.1991690642113
"AL",1035,"AL_Conecuh Coun",31.418674,-86.996483,5.46469697605274
"AL",1037,"AL_Coosa County",32.975932,-86.155035,6.17788495484456
"AL",1039,"AL_Covington Co",31.282449,-86.410955,13.7024650942004
"AL",1041,"AL_Crenshaw Cou",31.743487,-86.29708,8.70405632230169
"AL",1043,"AL_Cullman Coun",34.162362,-86.831859,42.8463317956119
"AL",1045,"AL_Dale County,",31.383346,-85.641269,33.738629314822
"AL",1047,"AL_Dallas Count",32.408815,-87.034955,14.4559875696919
"AL",1049,"AL_DeKalb Count",34.45511,-85.817208,35.4577487364313
"AL",1051,"AL_Elmore Count",32.559652,-86.225647,47.7055462319309
"AL",1053,"AL_Escambia Cou",31.088737,-87.282053,14.8410035825616
"AL",1055,"AL_Etowah Count",34.013693,-86.025393,71.9481546269168
"AL",1057,"AL_Fayette Coun",33.726422,-87.770355,10.0006876549392
"AL",1059,"AL_Franklin Cou",34.460481,-87.793594,18.7285237978415
"AL",1061,"AL_Geneva Count",31.09426,-85.788849,17.5198328148677
"AL",1063,"AL_Greene Count",32.830505,-87.924,4.74502995963448
"AL",1065,"AL_Hale County,",32.775804,-87.626084,8.61630810577098
