"fips","state_county5","Year.AHDP","County","Less_Than_High_School","At_Least_Bachelor_Degree.AHDP","Median_Earnings.AHDP","Education_Index","Income_Index","White.AHDP","African_American","Native_American","Asian_American","Other_race","Latino_Population","Children_in_Poverty","Adults_65_Poverty.AHDP","Population.Census2019","Below_federal_poverty_threshold.AHDP","Gini_Coefficient.AHDP","Child_Poverty","Professional_occupations","Service_occupations","Sales_office_occupations","Farming_occupations","Construction_occupations","Production_occupations","county5.x","countylast","state.x","county.x","Median_Earnings.y","Gini_Coefficient.MA","Below_federal_poverty_threshold.MA","Violent_Crime.MA","At_Least_Bachelor_Degree.MA","Population.MA","White.MA","Smoker","Obesity.MA","Diabetes","Elderly_Population.MA","lat","lon","area","ST","pTrump"
"10001","DE_Kent County,",2010,"Kent County, Delaware",15.1,20,30405,4.12,5.12,65.2,23.3,0.6,2,3.1,5.8,24,7.7,180786,12.5,0.41,21,31.6,18.4,25.6,0.5,11.3,12.6,"Kent County,","ent County, Delaware","DE","Kent County, DE",30410,0.4151,13.45212776,473.1910873,22.5,169509,0.636815744296763,19.01915736,32.8,12.8,15.0174917,39.12322,-75.558604,800.14,"DE",0.495871202981313
"10003","DE_New Castle C",2010,"New Castle County, Delaware",11.6,32.4,34811,5.63,6.06,61.6,23.1,0.2,4.3,2.1,8.7,15.7,7.6,558753,10.3,0.44,13.6,40.8,15.9,26,0.2,7.6,9.5,"New Castle C","ew Castle County, Delaware","DE","New Castle County, DE",36964,0.4526,11.35155728,550.110597,35,549643,0.598275607985547,15.8487025,27.7,9,13.36158197,39.68502,-75.634376,493.53,"DE",0.325944868535887
"10005","DE_Sussex Count",2010,"Sussex County, Delaware",14.8,21.2,27286,4.05,4.37,75.6,12.4,0.5,1,1.9,8.6,21.7,6.5,234225,11.7,0.43,20.4,28.9,19.4,26.2,1.1,12,12.3,"Sussex Count","ussex County, Delaware","DE","Sussex County, DE",28727,0.4336,12.63225015,445.7784538,23.2,207302,0.748367116573887,17.24773583,31,13.2,23.30464733,38.662387,-75.346649,1195.7,"DE",0.590625235831258
"1001","AL_Autauga Coun",2010,"Autauga County, Alabama",14.7,21.7,29949,4.65,5.02,77.2,17.6,0.4,0.9,1.5,2.4,21.3,8.6,55869,10.6,0.41,14.5,29.3,16.9,29.1,0.5,11,13.1,"Autauga Coun","utauga County, Alabama","AL","Autauga County, AL",30760,0.4227,12.8793824,265.7,23.2,55221,0.757827638036254,17.38023938,34.1,13,13.54194962,32.500389,-86.494165,604.49,"AL",0.727665879149481
"1003","AL_Baldwin Coun",2010,"Baldwin County, Alabama",12.4,26.8,26775,4.7,4.24,83.5,9.3,0.6,0.7,1.4,4.4,20.2,5.4,223234,12.2,0.44,18.8,31.5,17.6,26.9,1,12.5,10.6,"Baldwin Coun","aldwin County, Alabama","AL","Baldwin County, AL",27557,0.4564,13.41166073,216.77,29,195121,0.83103817631111,17.9371199,27.4,10.4,18.13028839,30.548923,-87.762381,2027.08,"AL",0.765457123352413
"1005","AL_Barbour Coun",2010,"Barbour County, Alabama",28.1,13.5,20335,2.7,2.34,46.8,46.7,0.2,0.4,0.9,5.1,37.1,20.2,24686,25,0.46,33.9,26.6,15.7,21.3,1.9,8.4,26.1,"Barbour Coun","arbour County, Alabama","AL","Barbour County, AL",22369,0.4642,26.72743923,328.66,12.5,26932,0.462423882370414,22.77668861,44.4,18.4,16.05896332,31.844036,-85.310038,904.59,"AL",0.520966663482663
"1007","AL_Bibb County,",2010,"Bibb County, Alabama",25.5,10,26902,2.15,4.28,75,21.9,0.3,0.1,0.9,1.8,24,11.3,22394,12.6,0.41,18.4,20.1,13.2,22.9,0.6,18,25.3,"Bibb County,","ibb County, Alabama","AL","Bibb County, AL",25968,0.441,16.79587808,147.29,10.6,22604,0.745000884799151,19.85076584,40.3,14.8,14.40010618,33.030921,-87.127659,625.5,"AL",0.764032203197641
"1009","AL_Blount Count",2010,"Blount County, Alabama",25.3,12.5,28186,3.07,4.6,88.9,1.3,0.5,0.2,1.1,8.1,21.2,10.9,57826,13.4,0.42,18.2,24.7,16,25.6,1.3,14.5,17.9,"Blount Count","lount County, Alabama","AL","Blount County, AL",30838,0.4037,16.72093268,211.6,12.9,57710,0.878530583954254,21.03738153,34.6,14.1,16.48241206,33.955243,-86.591491,650.65,"AL",0.893348444583398
"1011","AL_Bullock Coun",2010,"Bullock County, Alabama",25.3,12,21267,2.54,2.65,21.9,70,0.2,0.2,0.6,7.1,51.5,17,10101,25.3,0.53,48.8,21.2,15.5,24.3,5.2,6.6,27.2,"Bullock Coun","ullock County, Alabama","AL","Bullock County, AL",22074,0.4648,24.61873638,302.29,13.9,10678,0.22213897733658,22.77492503,43,19.6,14.59074733,32.116327,-85.701192,626.11,"AL",0.24203821656051
"1013","AL_Butler Count",2010,"Butler County, Alabama",25.2,11,22073,3.12,2.9,54.1,43.2,0.3,0.8,0.7,0.9,33,22.7,19448,25,0.46,32.5,22.2,17.8,26.1,2,9.3,22.7,"Butler Count","utler County, Alabama","AL","Butler County, AL",25570,0.4506,25.36473634,523.44,14.5,20354,0.533359536209099,21.83234745,36.3,17.7,17.80485408,31.773539,-86.65355,777.99,"AL",0.561268896014659
