"State","MedianAge","MedianAgeMale","MedianAgeFemale"
"Maine","44.7000","43.3000","46"
"Vermont","42.9000","41.3000","44.3000"
"New Hampshire","42.9000","41.6000","44.2000"
"West Virginia","42.5000","41.2000","43.9000"
"Florida","42","40.5000","43.6000"
"Connecticut","41","39.2000","42.7000"
"Pennsylvania","40.8000","39.1000","42.4000"
"Delaware","40.6000","38.8000","42.4000"
"Rhode Island","39.9000","38.2000","41.5000"
"New Jersey","39.9000","38.4000","41.4000"
"Montana","39.9000","38.8000","40.9000"
"Michigan","39.7000","38.3000","41.1000"
"Wisconsin","39.5000","38.4000","40.6000"
"Massachusetts","39.5000","37.9000","40.9000"
"South Carolina","39.4000","37.8000","40.9000"
"Ohio","39.4000","37.9000","40.8000"
"Oregon","39.3000","38.3000","40.3000"
"Hawaii","39.1000","37.6000","40.6000"
"Alabama","39","37.5000","40.5000"
"Kentucky","38.9000","37.5000","40.3000"
"New York","38.8000","37.3000","40.3000"
"Tennessee","38.7000","37.4000","40"
"North Carolina","38.7000","37.2000","40.2000"
"Maryland","38.7000","37.2000","40.2000"
"Missouri","38.6000","37.2000","40.1000"
"Virginia","38.2000","37","39.5000"
"Iowa","38.2000","37","39.4000"
"Illinois","38.1000","36.8000","39.4000"
"Arkansas","38.1000","36.8000","39.5000"
"Nevada","38","37.4000","38.7000"
"Minnesota","38","37.1000","39"
"New Mexico","37.8000","36.3000","39.4000"
"Wyoming","37.7000","36.9000","38.5000"
"Washington","37.7000","36.6000","38.8000"
"Indiana","37.7000","36.4000","39"
"Arizona","37.7000","36.3000","39"
"Mississippi","37.5000","35.9000","38.8000"
"South Dakota","37","36","38"
"Louisiana","36.9000","35.6000","38.2000"
"Kansas","36.7000","35.4000","38"
"Georgia","36.7000","35.4000","38"
"Colorado","36.7000","35.8000","37.8000"
"Oklahoma","36.6000","35.3000","37.8000"
"Nebraska","36.5000","35.5000","37.5000"
"California","36.5000","35.4000","37.7000"
"Idaho","36.4000","35.6000","37.2000"
"North Dakota","35.1000","34.2000","36.3000"
"Texas","34.6000","33.7000","35.6000"
"Alaska","34.3000","33.8000","34.9000"
"Utah","30.8000","30.2000","31.5000"
