Strain,GISAID Clade,Age,Clade,Country,Country of exposure,Admin Division,genbank_accession,gisaid_epi_isl,Host,Old Nextstrain clade,Originating Lab,Pangolin lineage,Submission Date,Region,Region of exposure,Sex,Submitting Lab,url,Collection Date,Author,Division of exposure,Location
Algeria/G0638_2264/2020,GH,28,20C,Africa,Africa,Africa,,EPI_ISL_418241,Human,A2a,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,B.1,Older,Africa,Africa,Female,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",,2020-03-02,Mélanie Albert et al C,,
Algeria/G0640_2265/2020,GH,87,20C,Africa,Africa,Africa,,EPI_ISL_418242,Human,A2a,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,B.1,Older,Africa,Africa,Male,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",,2020-03-08,Mélanie Albert et al C,,
Algeria/G0860_2262/2020,GH,41,20C,Africa,Africa,Africa,,EPI_ISL_420037,Human,A2a,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,B.1,Older,Africa,Africa,Male,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",,2020-03-02,Mélanie Albert et al C,,
Argentina/C121/2020,GR,51,20B,South America,South America,South America,,EPI_ISL_420600,Human,A2a,Servicio Virosis Respiratorias-Departamento Virología-INEI,B.1.1,Older,South America,South America,Male,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,,2020-03-07,Baumeister E. et al (https://dx.doi.org/10.1101/2020.05.23.20111443),,
Argentina/C3013/2020,G,73,20A,South America,South America,South America,,EPI_ISL_420598,Human,A2a,Servicio Virosis Respiratorias-Departamento Virología-INEI,B.1,Older,South America,South America,Male,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,,2020-03-22,Baumeister E. et al (https://dx.doi.org/10.1101/2020.05.23.20111443),,
Argentina/PAIS_A003/2020,GH,57,20C,South America,South America,South America,,EPI_ISL_430795,Human,A2a,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,B.1,Older,South America,South America,Female,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,,2020-03-26,Nabaes Jodar et al B,,
Argentina/PAIS_A006/2020,GH,27,20C,South America,South America,South America,,EPI_ISL_430798,Human,A2a,"Departamento de Biología y genética molecular, IACA Laboratorios.",B.1.3,Older,South America,South America,Female,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,,2020-03-28,Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443),,
Argentina/PAIS_A013/2020,G,34,20A,South America,Europe,South America,,EPI_ISL_430804,Human,A2a,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,B.1,Older,South America,Europe,Male,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,,2020-04-01,Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443),Europe,
Argentina/PAIS_A022/2020,GR,29,20B,South America,South America,South America,,EPI_ISL_430813,Human,A2a,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,B.1.1.1,Older,South America,South America,Male,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,,2020-04-11,Nabaes Jodar et al B,,
Argentina/PAIS_A023/2020,GR,34,20B,South America,South America,South America,,EPI_ISL_430814,Human,A2a,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,B.1.1,Older,South America,South America,Female,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,,2020-04-17,Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443),,
Argentina/PAIS_A026/2020,GR,48,20B,South America,South America,South America,,EPI_ISL_430817,Human,A2a,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,B.1.1,Older,South America,South America,Male,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,,2020-04-18,Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443),,
Australia/NSW03/2020,O,21,19A,Oceania,Asia,Oceania,,EPI_ISL_408977,Human,,"Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick",B,Older,Oceania,Asia,Female,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney,,2020-01-25,Eden J-S et al (https://dx.doi.org/10.1101/2020.04.19.048751),Asia,
Australia/NSW551/2020,G,,20A,Oceania,Oceania,Oceania,,EPI_ISL_455090,Human,A2a,South Eastern Area Laboratory Services,B.1.36,One month ago,Oceania,Oceania,,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,,2020-05-12,CIDM-PH et al. et al,,
Australia/NSW560/2020,O,,19B,Oceania,Oceania,Oceania,,EPI_ISL_455099,Human,B4,South Eastern Area Laboratory Services,A,One month ago,Oceania,Oceania,,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,,2020-05-24,CIDM-PH et al. et al,,
Australia/QLD01/2020,S,44,19B,Oceania,Asia,Oceania,,EPI_ISL_407894,Human,B4,Pathology Queensland,A,Older,Oceania,Asia,Male,Public Health Virology Laboratory,,2020-01-28,Ben Huang et al B,Asia,
Australia/QLD02/2020,S,42,19B,Oceania,Oceania,Oceania,,EPI_ISL_407896,Human,B4,Pathology Queensland,A,Older,Oceania,Oceania,Female,Public Health Virology Laboratory,,2020-01-30,Ben Huang et al B,,
Australia/QLD03/2020,S,8,19B,Oceania,Oceania,Oceania,,EPI_ISL_410717,Human,B4,Pathology Queensland,A,Older,Oceania,Oceania,Male,Public Health Virology Laboratory,,2020-02-05,Ben Huang et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305),,
Australia/QLD04/2020,S,37,19B,Oceania,Oceania,Oceania,,EPI_ISL_410718,Human,B4,Pathology Queensland,A,Older,Oceania,Oceania,Male,Public Health Virology Laboratory,,2020-02-05,Ben Huang et al B,,
Australia/SAP253/2020,S,,19B,Oceania,Oceania,Oceania,,EPI_ISL_468027,Human,B,SA Pathology,A.2,3-7 days ago,Oceania,Oceania,,SA Pathology,,2020-04-07,Lex Leong et al,,
Australia/VIC03/2020,O,58,19A,Oceania,Oceania,Oceania,,EPI_ISL_416411,Human,,Victorian Infectious Diseases Reference Laboratory (VIDRL),B,Older,Oceania,Oceania,Male,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",,2020-01-25,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Australia/VIC1221/2020,S,25,19B,Oceania,Oceania,Oceania,,EPI_ISL_430518,Human,B1,Victorian Infectious Diseases Reference Laboratory (VIDRL),A.1.3,Older,Oceania,Oceania,Female,"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity",,2020-04-01,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Australia/VIC1237/2020,S,26,19B,Oceania,Oceania,Oceania,,EPI_ISL_430525,Human,B1,Victorian Infectious Diseases Reference Laboratory (VIDRL),A.1,Older,Oceania,Oceania,Male,"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity",,2020-04-02,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Australia/VIC138/2020,S,79,19B,Oceania,Oceania,Oceania,,EPI_ISL_419834,Human,B,Victorian Infectious Diseases Reference Laboratory (VIDRL),A.5,Older,Oceania,Oceania,,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",,2020-02-23,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Australia/VIC14/2020,L,66,19A,Oceania,Oceania,Oceania,,EPI_ISL_419734,Human,,Victorian Infectious Diseases Reference Laboratory (VIDRL),B,Older,Oceania,Oceania,Male,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",,2020-02-02,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Australia/VIC1567/2020,O,51,19A,Oceania,Oceania,Oceania,,EPI_ISL_456487,Human,A3,Victorian Infectious Diseases Reference Laboratory (VIDRL),B.4,One month ago,Oceania,Oceania,Male,"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",,2020-05-06,Caly L. et al A,,
Australia/VIC1571/2020,O,51,19A,Oceania,Oceania,Oceania,,EPI_ISL_456486,Human,A3,Victorian Infectious Diseases Reference Laboratory (VIDRL),B.4,One month ago,Oceania,Oceania,Male,"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",,2020-05-07,Caly L. et al A,,
Australia/VIC285/2020,G,46,20A,Oceania,Oceania,Oceania,,EPI_ISL_419976,Human,A2a,Victorian Infectious Diseases Reference Laboratory (VIDRL),B.1,Older,Oceania,Oceania,Male,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",,2020-03-22,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Australia/VIC531/2020,GH,34,20C,Oceania,Oceania,Oceania,,EPI_ISL_426797,Human,A2a,Victorian Infectious Diseases Reference Laboratory (VIDRL),B.1,Older,Oceania,Oceania,Male,"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",,2020-03-24,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
Australia/VIC73/2020,S,65,19B,Oceania,Oceania,Oceania,,EPI_ISL_419785,Human,B,Victorian Infectious Diseases Reference Laboratory (VIDRL),A.3,Older,Oceania,Oceania,Male,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",,2020-03-14,Caly L. et al B (https://dx.doi.org/10.1101/2020.05.12.20099929),,
